# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] mean_pz[MeV/c] emitt_ emitt_y 
3.0862280136e-04 5.7713118818e+00 6.7974130929e+00 7.5380000000e+03 6.3885551769e+01 1.2462843840e+00 1.7291426127e+00 2.8149126266e+02 8.9743719816e-02 7.0431653761e-02 -3.6721660607e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
6.1724560272e-04 5.7693075639e+00 6.7960774473e+00 7.5380000000e+03 6.3885551769e+01 1.2454207174e+00 1.7284621514e+00 2.8149126266e+02 8.9696648997e-02 7.0406388373e-02 -3.6722361269e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
9.2586840407e-04 5.7673036015e+00 6.7947420186e+00 7.5380000000e+03 6.3885551769e+01 1.2445575032e+00 1.7277819342e+00 2.8149126266e+02 8.9649578177e-02 7.0381122985e-02 -3.6723061932e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.2344912054e-03 5.7652999950e+00 6.7934068068e+00 7.5380000000e+03 6.3885551769e+01 1.2436947413e+00 1.7271019612e+00 2.8149126266e+02 8.9602507357e-02 7.0355857596e-02 -3.6723762595e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.5431140068e-03 5.7632967448e+00 6.7920718120e+00 7.5380000000e+03 6.3885551769e+01 1.2428324318e+00 1.7264222323e+00 2.8149126266e+02 8.9555436538e-02 7.0330592208e-02 -3.6724463258e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.8517368081e-03 5.7612938512e+00 6.7907370345e+00 7.5380000000e+03 6.3885551769e+01 1.2419705746e+00 1.7257427477e+00 2.8149126266e+02 8.9508365718e-02 7.0305326820e-02 -3.6725163920e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.1603596095e-03 5.7592913147e+00 6.7894024742e+00 7.5380000000e+03 6.3885551769e+01 1.2411091698e+00 1.7250635072e+00 2.8149126266e+02 8.9461294899e-02 7.0280061432e-02 -3.6725864583e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.4689824109e-03 5.7572891355e+00 6.7880681314e+00 7.5380000000e+03 6.3885551769e+01 1.2402482173e+00 1.7243845108e+00 2.8149126266e+02 8.9414224079e-02 7.0254796044e-02 -3.6726565246e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.7776052122e-03 5.7552873141e+00 6.7867340062e+00 7.5380000000e+03 6.3885551769e+01 1.2393877172e+00 1.7237057587e+00 2.8149126266e+02 8.9367153260e-02 7.0229530655e-02 -3.6727265909e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
3.0862280136e-03 5.7532858509e+00 6.7854000987e+00 7.5380000000e+03 6.3885551769e+01 1.2385276695e+00 1.7230272507e+00 2.8149126266e+02 8.9320082440e-02 7.0204265267e-02 -3.6727966572e-03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
